number,title,user,state,date_created,date_closed,numcomments,ispull
344,"Fix append method of TTree",reikdas,closed,2019-09-20T11:29:53Z,2019-09-20T12:08:26Z,0,True
343,"Fix issue340",reikdas,closed,2019-09-20T06:05:26Z,2019-09-20T10:38:24Z,7,True
342,"Fixed extend for flush=True",reikdas,closed,2019-09-20T03:11:45Z,2019-09-20T10:38:52Z,1,True
341,"vector<uint_64> is read as jagged array of dtype uint32",DraTeots,closed,2019-09-19T16:57:35Z,2019-09-20T12:45:15Z,3,False
340,"Error reading with uproot root files, with TTree, written with uproot",marinang,closed,2019-09-19T08:00:21Z,2019-09-20T10:38:24Z,7,False
339,"Segmentation Fault (Crash) in `tests/test_write.py` while testing",kgizdov,closed,2019-09-18T12:02:15Z,2019-09-18T16:33:28Z,15,False
338,"Working with std::vector<std::string>",DraTeots,closed,2019-09-17T14:09:58Z,2019-09-17T14:29:38Z,2,False
337,"Extend and append methods added",reikdas,closed,2019-09-16T21:41:12Z,2019-09-17T15:56:24Z,1,True
336,"append should take a dictionary of numbers, not arrays",reikdas,closed,2019-09-16T14:59:52Z,2019-09-20T12:08:26Z,0,False
335,"Integer flushsize should be number of entries",reikdas,open,2019-09-16T14:59:49Z,None,0,False
334,"README - Add TTree writing documentation",reikdas,closed,2019-09-16T14:59:46Z,2019-09-20T10:38:01Z,1,False
333,"Unable to compress data larger than 2^24 bytes",reikdas,open,2019-09-09T15:44:22Z,None,0,False
332,"Don't attempt to set a pandas.RangeIndex in-place.",jpivarski,closed,2019-09-05T19:28:42Z,2019-09-06T23:04:34Z,0,True
331,"AttributeError when using `uproot.pandas.iterate`.",marinang,closed,2019-09-05T19:16:17Z,2019-09-06T23:06:31Z,3,False
330,"Fixes #329 by adding TRefArray.",jpivarski,closed,2019-09-05T14:57:34Z,2019-09-05T15:55:44Z,0,True
329,"Issues reading some TRef arrays",HenryDayHall,closed,2019-09-05T12:40:02Z,2019-09-05T15:11:59Z,1,False
328,"Fixes issue #327.",jpivarski,closed,2019-09-04T12:55:40Z,2019-09-04T14:05:25Z,3,True
327,"Error in Reading TTree",HimanshuCERN,closed,2019-09-04T11:33:03Z,2019-09-04T12:57:01Z,2,False
326,"Implemented TRef as an object that can live in TTrees.",jpivarski,closed,2019-08-30T18:55:53Z,2019-08-30T19:10:29Z,0,True
