date,country,count
2016-01-22,CH,199
2016-01-22,US,270
2016-01-22,other,791
2016-01-23,CH,41
2016-01-23,US,117
2016-01-23,other,316
2016-01-24,CH,67
2016-01-24,US,101
2016-01-24,other,240
2016-01-25,CH,50
2016-01-25,US,299
2016-01-25,other,740
2016-01-26,CH,99
2016-01-26,US,656
2016-01-26,other,1180
2016-01-27,CH,189
2016-01-27,US,863
2016-01-27,other,1085
2016-01-28,CH,150
2016-01-28,US,736
2016-01-28,other,1397
2016-01-29,CH,125
2016-01-29,US,871
2016-01-29,other,686
2016-01-30,CH,35
2016-01-30,US,184
2016-01-30,other,238
2016-01-31,CH,45
2016-01-31,US,74
2016-01-31,other,363
2016-02-01,CH,200
2016-02-01,US,957
2016-02-01,other,1021
2016-02-02,CH,164
2016-02-02,US,587
2016-02-02,other,983
2016-02-03,CH,377
2016-02-03,US,877
2016-02-03,other,690
2016-02-04,CH,103
2016-02-04,US,424
2016-02-04,other,5712
2016-02-05,CH,121
2016-02-05,US,595
2016-02-05,other,1200
2016-02-06,CH,76
2016-02-06,US,321
2016-02-06,other,289
2016-02-07,CH,70
2016-02-07,US,739
2016-02-07,other,485
2016-02-08,CH,95
2016-02-08,US,600
2016-02-08,other,485
2016-02-09,CH,88
2016-02-09,US,271
2016-02-09,other,1068
2016-02-10,CH,245
2016-02-10,US,378
2016-02-10,other,866
2016-02-11,CH,236
2016-02-11,US,612
2016-02-11,other,885
2016-02-12,CH,168
2016-02-12,US,541
2016-02-12,other,660
2016-02-13,CH,63
2016-02-13,US,167
2016-02-13,other,181
2016-02-14,CH,76
2016-02-14,US,76
2016-02-14,other,192
2016-02-15,CH,150
2016-02-15,US,415
2016-02-15,other,585
2016-02-16,CH,71
2016-02-16,US,751
2016-02-16,other,858
2016-02-17,CH,257
2016-02-17,US,732
2016-02-17,other,2987
2016-02-18,CH,768
2016-02-18,US,493
2016-02-18,other,3965
2016-02-19,CH,452
2016-02-19,US,320
2016-02-19,other,962
2016-02-20,CH,58
2016-02-20,US,143
2016-02-20,other,181
2016-02-21,CH,40
2016-02-21,US,166
2016-02-21,other,208
2016-02-22,CH,66
2016-02-22,US,537
2016-02-22,other,853
2016-02-23,CH,207
2016-02-23,US,706
2016-02-23,other,1005
2016-02-24,CH,61
2016-02-24,US,909
2016-02-24,other,972
2016-02-25,CH,249
2016-02-25,US,703
2016-02-25,other,874
2016-02-26,CH,163
2016-02-26,US,269
2016-02-26,other,899
2016-02-27,CH,167
2016-02-27,US,79
2016-02-27,other,373
2016-02-28,CH,231
2016-02-28,US,92
2016-02-28,other,171
2016-02-29,CH,318
2016-02-29,US,591
2016-02-29,other,1326
2016-03-01,CH,275
2016-03-01,US,695
2016-03-01,other,1546
2016-03-02,CH,91
2016-03-02,US,650
2016-03-02,other,1484
2016-03-03,CH,212
2016-03-03,US,516
2016-03-03,other,1343
2016-03-04,CH,180
2016-03-04,US,850
2016-03-04,other,1813
2016-03-05,CH,60
2016-03-05,US,141
2016-03-05,other,210
2016-05-22,CH,172
2016-05-22,US,247
2016-05-22,other,377
2016-05-23,CH,144
2016-05-23,US,1097
2016-05-23,other,1098
2016-05-24,CH,241
2016-05-24,US,798
2016-05-24,other,1672
2016-05-25,CH,258
2016-05-25,US,1027
2016-05-25,other,1265
2016-05-26,CH,132
2016-05-26,US,1304
2016-05-26,other,2495
2016-05-27,CH,115
2016-05-27,US,867
2016-05-27,other,1138
2016-05-28,CH,36
2016-05-28,US,128
2016-05-28,other,541
2016-05-29,CH,66
2016-05-29,US,41
2016-05-29,other,222
2016-05-30,CH,209
2016-05-30,US,388
2016-05-30,other,812
2016-05-31,CH,349
2016-05-31,US,1528
2016-05-31,other,1227
2016-06-01,CH,271
2016-06-01,US,1360
2016-06-01,other,1285
2016-06-02,CH,212
2016-06-02,US,1670
2016-06-02,other,1161
2016-06-03,CH,593
2016-06-03,US,696
2016-06-03,other,1129
2016-06-04,CH,58
2016-06-04,US,256
2016-06-04,other,230
2016-06-05,CH,57
2016-06-05,US,152
2016-06-05,other,280
2016-06-06,CH,354
2016-06-06,US,1231
2016-06-06,other,936
2016-06-07,CH,1486
2016-06-07,US,889
2016-06-07,other,1265
2016-06-08,CH,1290
2016-06-08,US,521
2016-06-08,other,755
2016-06-09,CH,161
2016-06-09,US,657
2016-06-09,other,668
2016-06-10,CH,141
2016-06-10,US,889
2016-06-10,other,903
2016-06-11,CH,54
2016-06-11,US,365
2016-06-11,other,290
