date,country,project,version,count
2018-08-27,US,awkward,0.0,1
2018-08-29,US,awkward,0.0,1
2018-08-31,other,awkward,0.0,1
2018-09-04,CH,awkward,0.0,1
2018-09-06,other,awkward,0.0,1
2018-09-19,other,awkward,0.0,1
2018-09-21,US,awkward,0.0,5
2018-09-24,CH,awkward,0.0,2
2018-09-24,other,awkward,0.0,2
2018-09-25,US,awkward,0.0,1
2018-09-25,other,awkward,0.0,3
2018-09-27,CH,awkward,0.0,1
2018-09-27,US,awkward,0.0,1
2018-09-27,other,awkward,0.0,1
2018-09-28,CH,awkward,0.0,1
2018-09-28,US,awkward,0.0,2
2018-09-28,other,awkward,0.0,3
2018-10-01,CH,awkward,0.0,1
2018-10-01,US,awkward,0.0,1
2018-10-01,other,awkward,0.0,3
2018-10-02,US,awkward,0.0,3
2018-10-02,other,awkward,0.0,1
2018-10-04,other,awkward,0.0,4
2019-01-10,other,awkward,0.0,1
2019-01-24,other,awkward,0.0,1
2019-01-27,other,awkward,0.0,1
2018-10-05,CH,awkward,0.1,1
2018-10-08,CH,awkward,0.1,1
2018-10-08,US,awkward,0.1,2
2018-10-09,US,awkward,0.1,2
2018-10-10,CH,awkward,0.1,1
2018-10-10,other,awkward,0.1,1
2018-10-11,CH,awkward,0.1,1
2018-10-12,US,awkward,0.1,1
2018-10-12,other,awkward,0.1,3
2019-05-21,CH,awkward,0.10,17
2019-05-21,US,awkward,0.10,4
2019-05-21,other,awkward,0.10,8
2019-05-22,CH,awkward,0.10,16
2019-05-22,US,awkward,0.10,3
2019-05-22,other,awkward,0.10,4
2019-05-23,CH,awkward,0.10,15
2019-05-23,US,awkward,0.10,1
2019-05-23,other,awkward,0.10,3
2019-05-24,CH,awkward,0.10,5
2019-05-24,US,awkward,0.10,6
2019-05-24,other,awkward,0.10,5
2019-05-25,CH,awkward,0.10,4
2019-05-25,US,awkward,0.10,6
2019-05-25,other,awkward,0.10,1
2019-05-26,CH,awkward,0.10,7
2019-05-27,CH,awkward,0.10,9
